n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
10,50,0.15,6,1,0.129546393213826,3327.3481468259,1.46411501646543,0.027,0.113,0.037,0.18,-0.207497701091422
8,30,0.45,15,0,0.0300186210349045,2462.10318389706,1.54698515131184,0.031,0.067,0.024,0.085,-0.208574734901427
10,40,0.45,14,1,0.103580533312667,2768.22283398569,1.50898563499801,0.026,0.119,0.031,0.141,-0.225906888487849
10,50,0.25,8,1,0.124013377522654,2933.78875185156,1.51598547175906,0.025,0.113,0.029,0.18,-0.227895732060674
10,20,0.4,16,0,0.0120460146354864,2179.0931425496,1.66713944925162,0.034,0.082,0.021,0.048,-0.230713273162195
8,10,0.6,19,0,0.053061447887152,2194.18323531074,1.70016690531521,0.03,0.097,0.032,0.066,-0.232246080878832
10,40,0.35,14,1,0.0843702839767959,2759.97412929438,1.41224896143077,0.028,0.119,0.027,0.141,-0.233855905701562
8,50,0.6,20,0,0.0946194481902855,2251.02762432692,1.57040817033769,0.04,0.128,0.032,0.084,-0.233869987627137
10,10,0.35,12,1,0.0811793596443187,2575.37306311025,1.54509944314619,0.023,0.098,0.03,0.148,-0.243561931514788
8,10,0.15,7,1,0.111756212426092,3087.4884713455,1.52688783428391,0.027,0.137,0.034,0.16,-0.244558147435025
10,50,0.3,10,1,0.107453832354418,2846.5488075528,1.46328304530239,0.024,0.113,0.032,0.18,-0.245547031798181
10,50,0.4,12,1,0.112207796950387,2737.11375941569,1.55522084551833,0.022,0.113,0.027,0.18,-0.248458599630661
8,50,0.3,9,1,0.135214786751469,3175.47693678325,1.48245686565211,0.036,0.137,0.04,0.184,-0.251257052974579
10,20,0.15,6,1,0.119390745973773,3166.87380323367,1.51403558655016,0.034,0.126,0.038,0.188,-0.25966912251956
10,10,0.25,9,1,0.0926579073742686,2801.40644978856,1.47988217634407,0.022,0.121,0.032,0.175,-0.265259987770711
10,50,0.2,8,1,0.0821337754400446,2903.78116143269,1.62128465466425,0.024,0.113,0.03,0.18,-0.281805631954746
10,40,0.5,17,1,0.0599199727912119,2390.52318051323,1.50526430621688,0.026,0.119,0.027,0.141,-0.284080298804814
10,20,0.35,14,1,-0.0306329156427926,2281.89120599566,1.56694726383343,0.032,0.105,0.019,0.058,-0.287233081726352
10,10,0.4,15,1,0.0739155017029251,2378.28569238891,1.69239813121757,0.025,0.108,0.03,0.148,-0.287410026799386
10,40,0.6,21,4,0.0629433137243942,2277.89179008917,1.50133557884908,0.027,0.119,0.028,0.141,-0.288295654656055
5,10,0.6,13,1,0.0941142497692971,1845.98529596969,1.81193977154004,0.047,0.106,0.031,0.115,-0.293780462586223
10,20,0.5,18,0,0.0251497255518003,2155.26882556092,1.57667806724171,0.036,0.098,0.023,0.121,-0.302754639894325
10,10,0.3,12,1,0.0508345031677477,2648.79191474808,1.50021154024513,0.025,0.119,0.028,0.167,-0.305747055119361
12,40,0.5,27,2,0.107925511771464,3397.42296776876,1.28294466163109,0.031,0.177,0.026,0.228,-0.312497806003207
10,10,0.45,16,1,0.0534361843742488,2410.14290250853,1.43708318377416,0.026,0.119,0.031,0.167,-0.312764988877741
12,40,0.35,21,2,0.100506495320124,3706.56974882565,1.31751584432203,0.034,0.177,0.03,0.228,-0.314916601670796
10,10,0.5,17,1,0.0367364083767923,2218.7917383174,1.5707134717226,0.025,0.108,0.025,0.148,-0.315395351879598
10,10,0.6,19,1,0.0349044426315996,2107.99466257418,1.50656175571291,0.027,0.108,0.027,0.148,-0.320351999810983
10,50,0.35,13,1,0.0465202666948561,2497.91444666127,1.45895938808455,0.027,0.113,0.026,0.18,-0.320479949780535
12,40,0.6,32,5,0.109905809522233,3235.26829867399,1.23487093605804,0.033,0.177,0.032,0.228,-0.321817869149872
10,20,0.45,16,2,0.0479956714361535,2269.25485985915,1.57375868604299,0.037,0.107,0.029,0.163,-0.331917454175189
12,40,0.2,13,1,0.0689600662539488,3992.85230927759,1.33484965485804,0.031,0.177,0.032,0.228,-0.332882283767976
8,10,0.5,17,1,0.0520417292321794,2398.00158737909,1.51260993579436,0.037,0.141,0.038,0.14,-0.335319184978302
12,40,0.45,25,3,0.0881011921782088,3322.76301445765,1.31896330948852,0.033,0.177,0.029,0.228,-0.34465698804776
