n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
8,50,0.3,12,0,0.0943964200437536,2896.84893276222,1.50353454821744,0.028,0.051,0.026,0.047,0.054,0.098,-0.0631145881398794
8,30,0.2,7,0,0.100562628840529,3302.05868631608,1.55703367161794,0.021,0.052,0.022,0.079,0.043,0.131,-0.064037804005461
10,30,0.15,10,0,0.0653900048588568,3551.73206728897,1.50474410463664,0.027,0.061,0.018,0.051,0.045,0.112,-0.0644978022403587
10,50,0.25,10,0,0.0832724473842818,3319.70890099908,1.40491761567764,0.028,0.078,0.019,0.05,0.047,0.128,-0.0662338691335282
8,40,0.2,8,1,0.103240335852683,3041.107441493,1.60476729139579,0.021,0.057,0.022,0.064,0.043,0.121,-0.069181021212246
8,10,0.3,11,0,0.101084927452017,3066.84696059427,1.39798220263122,0.028,0.087,0.015,0.054,0.043,0.141,-0.0693709447813915
10,40,0.4,12,0,0.103604781523648,2721.7240681151,1.59440258444939,0.024,0.072,0.016,0.04,0.04,0.112,-0.071749273515536
10,40,0.25,10,0,0.107299081310687,2907.31772587438,1.482762791685,0.024,0.065,0.02,0.072,0.044,0.137,-0.076611311564094
12,20,0.6,19,0,0.0838914932814072,2456.68980851911,1.46256569679479,0.023,0.061,0.018,0.039,0.041,0.1,-0.0805305859721163
8,50,0.2,8,0,0.0866766138149116,3331.19025937548,1.5100119896105,0.024,0.049,0.025,0.085,0.049,0.134,-0.0807650721773644
10,10,0.1,7,0,0.0521028030607195,4030.58597436983,1.62660756517615,0.025,0.087,0.014,0.054,0.039,0.141,-0.089028654738404
10,30,0.3,16,1,0.0411482538485384,3211.75199374821,1.55853248995622,0.022,0.058,0.016,0.047,0.038,0.105,-0.0971173954596731
10,20,0.2,8,0,0.1165032692908,2882.97593402938,1.64309602586235,0.028,0.096,0.022,0.048,0.05,0.144,-0.097657536593966
10,10,0.2,11,0,0.0840143222994163,3828.24609501783,1.33748669779304,0.033,0.098,0.021,0.088,0.054,0.186,-0.0983220427289961
8,10,0.25,9,0,0.0637240370392519,2972.21320761774,1.55335952078776,0.029,0.085,0.018,0.032,0.047,0.117,-0.107001254658637
8,30,0.45,14,0,0.101772092910955,2715.2054436081,1.64327549356776,0.026,0.062,0.021,0.072,0.047,0.134,-0.107795184265416
10,30,0.45,23,1,0.0978656944969232,3229.32288570916,1.43552286368739,0.031,0.096,0.024,0.082,0.055,0.178,-0.117220447586358
8,40,0.25,9,0,0.0612093800495608,2966.14823685154,1.48328997935135,0.026,0.074,0.022,0.06,0.048,0.134,-0.120812206042997
10,10,0.15,10,1,0.0806025397827846,3802.26956134909,1.33698172746706,0.033,0.095,0.023,0.107,0.056,0.202,-0.120982154896467
8,20,0.25,9,0,0.0795314093885735,3186.93180990335,1.46810594172179,0.028,0.084,0.024,0.082,0.052,0.166,-0.125932594288438
10,40,0.5,17,0,0.0556478889486437,2545.78063399249,1.45454967014231,0.024,0.053,0.017,0.071,0.041,0.124,-0.127518046365963
10,10,0.35,19,1,0.114452276872428,3526.34827605138,1.33605243257692,0.04,0.131,0.029,0.085,0.069,0.216,-0.127835552582695
8,20,0.3,12,0,0.0929766720189902,2961.40387035853,1.35159567542236,0.035,0.094,0.029,0.081,0.064,0.175,-0.133112702005319
10,10,0.25,13,0,0.0573774981908878,3585.78663532646,1.45540506088386,0.03,0.094,0.02,0.081,0.05,0.175,-0.133873676131175
10,40,0.6,20,0,0.0641444102450494,2331.67470564286,1.49198803954534,0.026,0.058,0.021,0.063,0.047,0.121,-0.136470658427342
8,50,0.45,15,0,0.0859324101005299,2840.93050313184,1.59032582420915,0.031,0.089,0.029,0.058,0.06,0.147,-0.138053647163793
12,10,0.4,16,0,0.053900944536262,2373.71362054279,1.56001799276635,0.025,0.066,0.017,0.049,0.042,0.115,-0.140415173713234
10,50,0.45,17,1,0.0852470704796045,2795.50601519449,1.43609910890906,0.036,0.107,0.022,0.059,0.058,0.166,-0.142587539651577
10,10,0.6,27,1,0.105307104420773,3154.09563920196,1.29626285802861,0.038,0.123,0.029,0.088,0.067,0.211,-0.14461439942199
8,10,0.2,9,1,0.0383015138835057,2736.25731401435,1.59869627764928,0.028,0.077,0.018,0.039,0.046,0.116,-0.146755248180705
10,30,0.25,16,0,0.0593704614425609,3246.07325593622,1.4151369450749,0.029,0.094,0.022,0.084,0.051,0.178,-0.148839570268118
8,50,0.4,15,0,0.0635077267834439,2819.5717302161,1.46630808164884,0.035,0.078,0.029,0.065,0.064,0.143,-0.149144494870635
10,50,0.15,7,1,0.166185935478973,3719.7138918093,1.39601915944122,0.028,0.113,0.034,0.187,0.062,0.3,-0.149430285874684
10,30,0.35,20,1,0.0631225484157392,3128.62015690107,1.47116187998187,0.027,0.097,0.022,0.077,0.049,0.174,-0.150562631737394
8,20,0.2,8,0,0.0726538653415601,3031.5551783117,1.58685251128654,0.024,0.087,0.026,0.082,0.05,0.169,-0.153453626871509
10,50,0.5,19,1,0.080200237457032,2752.64465846308,1.39367534180988,0.036,0.115,0.024,0.057,0.06,0.172,-0.153535063800802
10,30,0.5,26,3,0.0807144726160858,3005.43922643737,1.39823313873281,0.031,0.102,0.027,0.085,0.058,0.187,-0.153836879935327
8,30,0.35,15,0,0.0590605653169178,2667.75467661248,1.55818528092573,0.028,0.07,0.024,0.07,0.052,0.14,-0.155370228945031
10,40,0.45,16,0,0.0549532979722998,2465.5990899228,1.52679600289102,0.023,0.065,0.017,0.078,0.04,0.143,-0.157446347820662
12,20,0.5,18,0,0.0638335078132946,2328.23341212246,1.51427438391374,0.025,0.082,0.023,0.057,0.048,0.139,-0.158182259971956
10,10,0.3,16,1,0.107534443490293,3676.07122965134,1.30612783255213,0.041,0.164,0.028,0.086,0.069,0.25,-0.158274778282353
10,50,0.1,5,1,0.19778958397267,4015.73716951038,1.30001469097862,0.039,0.153,0.042,0.193,0.081,0.346,-0.158425026649673
12,10,0.45,17,0,0.0547346028733622,2253.99256911372,1.58686852456531,0.024,0.077,0.017,0.05,0.041,0.127,-0.159252621127483
10,30,0.4,23,2,0.0706014398937779,3012.66778127886,1.44063935257509,0.028,0.101,0.023,0.086,0.051,0.187,-0.160829106299788
10,50,0.6,24,1,0.0882479894943515,2461.23003679364,1.41722565056893,0.036,0.112,0.024,0.059,0.06,0.171,-0.16141307372286
8,20,0.45,15,0,0.0665079467105993,2688.16255435076,1.54758347008974,0.032,0.078,0.027,0.071,0.059,0.149,-0.161842272580837
8,30,0.4,15,0,0.0565818391767614,2603.0896836274,1.59272258658869,0.029,0.067,0.023,0.073,0.052,0.14,-0.164535935300738
8,20,0.1,4,1,0.139320224685379,3543.53082090624,1.64569760008605,0.037,0.119,0.035,0.126,0.072,0.245,-0.165072994277914
8,20,0.5,16,0,0.086386943945726,2704.14436903921,1.53947955179033,0.031,0.096,0.028,0.078,0.059,0.174,-0.165353792781347
8,20,0.35,12,0,0.0780125294870319,2920.8281270435,1.53714261217734,0.034,0.096,0.029,0.077,0.063,0.173,-0.165660325378527
8,50,0.35,12,0,0.0775684540990427,3068.02174395934,1.46320247107962,0.034,0.089,0.035,0.095,0.069,0.184,-0.168350705810952
8,40,0.45,14,0,0.0660325013091332,2710.84414331035,1.52561986598579,0.032,0.101,0.023,0.068,0.055,0.169,-0.174987278123928
8,10,0.35,12,0,0.0616792413014882,2790.08397177465,1.46027004893623,0.032,0.125,0.019,0.056,0.051,0.181,-0.176843565003402
8,40,0.4,13,0,0.0946336404962612,2901.2589720984,1.51017577192779,0.035,0.129,0.026,0.076,0.061,0.205,-0.177320988091598
