n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
2,40,0.6,9,3,0.0280160941565821,543.530158866838,2.8208355588674,0.135,0.714,0.103,0.48,0.238,1.194,-1.65889095378682
2,30,0.45,8,2,0.037590965133055,614.795589079763,2.92622690930321,0.14,0.714,0.103,0.48,0.243,1.194,-1.66129194634328
2,30,0.6,8,2,0.0385306492355615,610.761019977777,2.92833876139638,0.143,0.714,0.103,0.48,0.246,1.194,-1.66376517590519
2,30,0.4,7,2,0.0287719945818765,608.729505541749,2.82918638397806,0.149,0.714,0.104,0.48,0.253,1.194,-1.67071016853884
2,20,0.6,8,3,0.0502136389848613,670.721640674871,2.70887031186587,0.151,0.729,0.113,0.502,0.264,1.231,-1.68213731016798
2,30,0.5,8,2,0.034172861319494,595.119920314599,3.02441492507707,0.152,0.714,0.103,0.48,0.255,1.194,-1.68751263517248
2,40,0.5,8,3,0.0214343251594665,537.584136870788,2.86187986763678,0.144,0.714,0.115,0.48,0.259,1.194,-1.69087445476067
2,20,0.5,6,2,0.0532879705896304,806.012293158366,2.82158560799873,0.166,0.729,0.111,0.502,0.277,1.231,-1.69656997555232
2,20,0.45,6,2,0.0533468974061379,805.658918518331,2.82257479318867,0.166,0.729,0.111,0.502,0.277,1.231,-1.69662763598681
2,40,0.45,7,2,0.0229482622030156,595.85817864768,3.0771282997781,0.143,0.714,0.105,0.48,0.248,1.194,-1.69697165884241
2,20,0.35,5,2,0.0647783104374941,788.134793690932,2.51363641082233,0.182,0.729,0.138,0.502,0.32,1.231,-1.69817859096019
2,20,0.3,5,2,0.0633537976541135,785.475454560244,2.53304132578495,0.181,0.729,0.137,0.502,0.318,1.231,-1.69967656219637
2,20,0.2,3,1,0.0933480683424826,832.583901026404,2.39098858383344,0.241,0.714,0.161,0.48,0.402,1.194,-1.70012159498954
2,20,0.1,3,1,0.0929418066162093,830.032483127424,2.3870047845141,0.241,0.714,0.161,0.48,0.402,1.194,-1.70025704767883
2,20,0.15,3,1,0.092918568688543,830.689691084515,2.38799063084837,0.241,0.714,0.161,0.48,0.402,1.194,-1.70034600984207
2,20,0.25,5,2,0.0625561214514516,788.195856072071,2.54618789051839,0.181,0.729,0.136,0.502,0.317,1.231,-1.70065287479678
2,40,0.4,6,2,0.0386337214215947,615.723165775156,3.06211184330941,0.165,0.714,0.121,0.48,0.286,1.194,-1.71679130462059
2,50,0.6,8,2,0.0364734979857047,486.954936982098,3.0780131199145,0.157,0.714,0.121,0.48,0.278,1.194,-1.71898006715664
2,40,0.3,5,2,0.0523565643563504,630.847716321115,2.82075437827244,0.187,0.714,0.14,0.48,0.327,1.194,-1.71917648765484
2,40,0.25,5,2,0.0520238345051561,627.104888692406,2.82829151287955,0.187,0.714,0.14,0.48,0.327,1.194,-1.72045007234818
2,30,0.15,4,2,0.0747430426523416,492.44540306565,2.31848463363937,0.228,0.714,0.166,0.48,0.394,1.194,-1.72048315055831
2,30,0.2,4,2,0.0747221440783552,492.714657541807,2.31879440736112,0.228,0.714,0.166,0.48,0.394,1.194,-1.72052156378067
2,30,0.3,5,2,0.0527468236504975,601.73675767585,2.89419480655701,0.186,0.714,0.135,0.48,0.321,1.194,-1.72158581912141
2,50,0.25,5,2,0.0498467203120534,587.656049781859,2.86252462366148,0.184,0.714,0.137,0.48,0.321,1.194,-1.722022939565
2,30,0.25,5,2,0.0528629085509584,596.159454860078,2.89819303821576,0.186,0.714,0.135,0.48,0.321,1.194,-1.72214842252761
2,40,0.2,4,2,0.0781009741164504,508.382824672465,2.29219810982589,0.232,0.714,0.173,0.48,0.405,1.194,-1.72469969563252
2,40,0.35,5,2,0.0511232974876433,626.830623967195,2.86196003695557,0.19,0.714,0.144,0.48,0.334,1.194,-1.73173117500955
2,20,0.4,6,2,0.0395336969381371,714.28642305119,2.61520079037518,0.178,0.729,0.152,0.502,0.33,1.231,-1.74727206094682
2,40,0.1,3,1,0.0768136727992585,684.312157854194,2.63450898336839,0.241,0.714,0.161,0.48,0.402,1.194,-1.74842161764487
2,40,0.15,3,1,0.0767546299656748,684.884054349329,2.63675801157876,0.241,0.714,0.161,0.48,0.402,1.194,-1.74867696847473
2,30,0.1,3,1,0.0733657244144794,660.537651905574,2.67542527132831,0.241,0.714,0.161,0.48,0.402,1.194,-1.75714992012307
2,50,0.35,5,1,0.0405696570801797,682.886097287686,3.33306721431937,0.176,0.714,0.13,0.48,0.306,1.194,-1.75859275948737
2,50,0.1,3,1,0.0700711858268705,622.984785533687,2.74328193534048,0.241,0.714,0.161,0.48,0.402,1.194,-1.76910776843049
2,50,0.15,3,1,0.0699614141454766,624.266431859159,2.74482615267909,0.241,0.714,0.161,0.48,0.402,1.194,-1.76930787952947
2,50,0.2,3,1,0.0700814752566868,624.700258039769,2.7496305163898,0.241,0.714,0.161,0.48,0.402,1.194,-1.7696465634803
2,50,0.3,5,2,0.0495208519592052,598.626836096205,2.84631198511204,0.189,0.744,0.146,0.524,0.335,1.268,-1.80817900474719
