n_clusters,resolution,silhouette,calinski_harabasz,davies_bouldin,score
4,0.2,0.137437694446103,5161.09256300977,1.92666967268667,3.3718605847692
6,0.3,0.0985299864691747,3691.3197885165,2.22807825494154,1.56177152004414
7,0.4,0.0994954729533074,3426.42247911533,2.20274277745335,1.32317517461529
9,0.5,0.103676121871252,2987.19447355868,1.95290821473336,1.13796238069657
9,0.6,0.0881118197945846,2915.55819776214,2.02649416931393,0.977175848242795
11,0.7,0.0798211571720499,2564.15433274105,2.00439681336165,0.63957867655145
11,0.8,0.0806956937794771,2573.23605301232,2.00032717286987,0.653604573921927
11,0.9,0.0789618172991995,2559.97509282487,2.00949255713935,0.62944435298472
12,1,0.065810207532889,2354.07489232077,2.15320513205317,0.266679967800489
14,1.1,0.0518619047154958,2164.71931384244,2.2412201246622,-0.024638906104264
16,1.2,0.0331637683351416,1917.79585158484,2.20365320260515,-0.252693582685169
17,1.3,0.0413234395017573,1899.48890036371,2.17763181652778,-0.236819476662313
20,1.4,0.0432153420978228,1722.70373524701,2.18554112968921,-0.419622052344377
21,1.5,0.0459764567699619,1669.75483148666,2.13475850798249,-0.419027219725868
