n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
10,30,0.5,21,0.100479014,3496.6816,1.31081666160506,2.28634395239494
10,40,0.45,24,0.0895397812128067,3536.4052734375,1.36209985675936,2.26384519789095
8,10,0.2,7,0.138279050588608,3542.15502929688,1.4590263339771,2.22140774590839
10,30,0.6,28,0.11590339,3341.5188,1.23823905044242,2.21918313955758
12,10,0.35,12,0.126194968819618,3616.83862304688,1.53178107185506,2.21125252001143
12,50,0.25,8,0.127793818712235,3582.75219726563,1.51477407842747,2.19577193755039
12,20,0.15,6,0.130682736635208,3493.15649414063,1.4637389587286,2.16010027204723
10,40,0.6,30,0.0955711528658867,3373.8359375,1.30962781769964,2.15977927266624
12,10,0.3,13,0.120265439152718,3507.46850585938,1.47844163035685,2.14929231465524
10,20,0.2,7,0.145007431507111,3356.10302734375,1.35485332097395,2.14625713787692
12,10,0.4,15,0.139622926712036,3407.67846679688,1.44654894493689,2.10075244857202
12,10,0.45,18,0.144712492823601,3313.078125,1.38692178725892,2.07086883056468
10,10,0.1,4,0.163981169462204,3442.89672851563,1.60974493463067,1.99713296334716
12,10,0.5,17,0.134873509407043,3284.38916015625,1.43935911724188,1.97990355232142
8,30,0.15,5,0.117966197431088,3355.6806640625,1.50472613988969,1.96892072160389
8,40,0.1,5,0.150360852479935,3282.93774414063,1.46880968144892,1.96448891517164
12,10,0.6,19,0.138679638504982,3216.2080078125,1.40550794559672,1.94937970072076
10,20,0.15,7,0.141994684934616,3136.74682617188,1.3737053252767,1.9050361858298
8,30,0.1,4,0.140351131558418,3375.79467773438,1.65380435567521,1.86234145361759
10,10,0.25,9,0.121693901717663,3172.60278320313,1.45192346615319,1.8423732187676
12,40,0.15,6,0.124652959406376,3490.99829101563,1.77362993823025,1.84202131219175
12,30,0.1,5,0.0905551835894585,3577.26318359375,1.8622607878105,1.80555757937271
12,20,0.2,7,0.12623718380928,3256.7529296875,1.58725230612175,1.79573780737503
10,10,0.15,6,0.117044419050217,3199.63745117188,1.53300530084284,1.78367656937925
10,30,0.35,13,0.0873068422079086,3006.98071289063,1.3350681426946,1.75921941240394
10,10,0.2,6,0.0966059863567352,3346.54663085938,1.69188858109024,1.75126403612587
12,30,0.2,7,0.113888330757618,3210.3466796875,1.59874197149968,1.72549303894544
8,40,0.2,8,0.0954080894589424,3023.1875,1.39802717270702,1.72056841675192
12,30,0.15,7,0.1141517162323,3201.2607421875,1.59672839728756,1.71868406113224
10,10,0.3,9,0.114997811615467,3038.01049804688,1.4475975240317,1.70541078563064
12,30,0.3,10,0.132330283522606,3223.38842773438,1.65320643602115,1.70251227523583
12,50,0.45,15,0.0876081436872482,3029.58935546875,1.41918748408599,1.69801001507001
8,10,0.3,9,0.0891502574086189,3048.76513671875,1.45751324363446,1.68040215049291
10,20,0.25,9,0.0709778219461441,3038.6650390625,1.44369141612337,1.66595144488528
12,50,0.35,13,0.0711674913764,2936.22875976563,1.35062377287579,1.65677247826624
