n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
10,20,0.35,16,0,0.0659369016803423,2845.9138081841,1.3963307630734,0.033,0.079,0.022,0.056,-0.121400484217793
8,10,0.3,15,0,0.105627261295337,3852.28644083572,1.36798888145878,0.038,0.112,0.026,0.109,-0.123557304808755
8,10,0.5,23,1,0.110103989163393,3504.42498396352,1.26716034053273,0.044,0.119,0.028,0.093,-0.125390795691704
8,30,0.4,10,0,0.10156005591278,2288.96227802912,1.68190011988856,0.029,0.094,0.02,0.047,-0.14218184217462
10,50,0.5,17,1,0.051932330328588,2527.69765576673,1.48973127483566,0.026,0.063,0.02,0.065,-0.144655914366642
10,50,0.2,8,1,0.153615137490002,3272.96609715184,1.32372632933806,0.029,0.104,0.039,0.159,-0.146109190586212
10,20,0.3,14,1,0.0939445293010412,2797.60620360041,1.47076580462109,0.037,0.077,0.025,0.095,-0.147251740981047
10,20,0.25,12,0,0.0651383409693606,2942.78324580742,1.55648507125944,0.032,0.1,0.021,0.061,-0.157371003866212
10,10,0.25,8,0,0.0381917159814944,2958.15089911677,1.67027577043189,0.029,0.091,0.017,0.04,-0.157928316105856
8,50,0.35,9,0,0.0951775142188537,2463.56940913447,1.6743509242443,0.031,0.072,0.024,0.089,-0.165079107748853
10,50,0.45,16,0,0.0989286167443849,2689.27736861887,1.50534695985371,0.032,0.124,0.025,0.067,-0.165142210810043
10,40,0.4,12,0,0.0621764772470355,2662.77879341033,1.51077027778422,0.022,0.08,0.024,0.085,-0.16676161086087
8,30,0.45,10,0,0.0875033606882153,2249.07500247446,1.75889750100481,0.03,0.106,0.018,0.04,-0.169932639288543
12,10,0.15,6,1,0.15581531179471,3611.37685859872,1.44764833115056,0.034,0.133,0.036,0.159,-0.17038067839041
10,10,0.4,14,0,0.0717524202068663,2550.720882736,1.62183027394439,0.03,0.085,0.023,0.071,-0.171894563050773
10,10,0.45,16,0,0.0652297150071912,2486.3455249318,1.5297866841888,0.031,0.094,0.023,0.061,-0.172431677165099
10,30,0.1,5,1,0.170546998165601,3796.92828124114,1.41685577109769,0.041,0.139,0.042,0.17,-0.173292164882111
10,10,0.5,15,0,0.0659120024490668,2443.52007914846,1.59577614254705,0.031,0.106,0.021,0.046,-0.175489607848215
12,30,0.35,12,1,0.106346993141184,2745.28160618357,1.5962643141892,0.025,0.075,0.028,0.137,-0.181015357968558
12,40,0.35,13,0,0.0729850447207731,2597.52280766295,1.57252850582033,0.028,0.118,0.027,0.057,-0.184391665478112
10,40,0.1,4,1,0.153402792913418,3301.92332181448,1.59569522868769,0.03,0.1,0.045,0.17,-0.186070563864627
10,20,0.5,22,2,0.0679214523252732,2482.2648473754,1.37798714958032,0.039,0.106,0.028,0.071,-0.189764020263989
10,30,0.15,5,1,0.172700362096559,3827.23457593354,1.4206367496664,0.042,0.145,0.045,0.18,-0.190001584073404
10,50,0.4,13,0,0.0569989166739473,2798.32070543322,1.52266696240721,0.028,0.088,0.025,0.094,-0.190351744295113
10,20,0.4,17,1,0.0877752681615293,2724.68279835765,1.51400944525292,0.039,0.083,0.029,0.115,-0.19339153644588
8,10,0.4,19,0,0.0896699370492926,3367.42530122428,1.40701002910777,0.039,0.149,0.027,0.096,-0.19365980080027
8,10,0.25,14,0,0.0741406957010492,3651.28125297627,1.37549079599001,0.037,0.156,0.024,0.097,-0.194844321249138
8,10,0.6,27,3,0.124059293069195,3359.46165047288,1.25517780855959,0.045,0.198,0.032,0.092,-0.20048540526312
