n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
2,40,0.3,5,2,0.0632857570569669,733.122451512998,2.60046446960147,0.179,0.714,0.134,0.48,-1.66710456732753
2,40,0.35,5,2,0.0629613562694848,733.676064431332,2.60171244196733,0.179,0.714,0.134,0.48,-1.66752608470568
2,40,0.2,5,2,0.0589978850810917,627.438334426999,2.51040653118673,0.179,0.714,0.135,0.48,-1.66867085131623
2,50,0.3,6,2,0.0483956897806229,636.374547102873,2.92354819520262,0.151,0.714,0.113,0.48,-1.6701404023845
2,50,0.35,6,2,0.0485659802362867,637.648706896683,2.92557499155725,0.153,0.714,0.113,0.48,-1.6721090835746
2,30,0.4,6,1,0.0422964114713539,700.128924700316,3.12983270936287,0.143,0.714,0.101,0.48,-1.67368041322992
2,30,0.45,6,1,0.0421724484099886,701.016235222917,3.17531370180997,0.141,0.714,0.099,0.48,-1.67430811000986
2,40,0.5,8,2,0.0328369578848155,641.652670024495,3.00768717785638,0.14,0.714,0.112,0.48,-1.6818491263996
2,40,0.6,10,4,0.0364543290685145,535.548103510905,2.79973801339633,0.152,0.714,0.122,0.48,-1.68474206709557
2,40,0.45,8,2,0.0314766439269011,637.098256458447,3.02478356088557,0.14,0.714,0.113,0.48,-1.68614679933873
2,50,0.5,6,2,0.050106161250323,671.353369743958,3.01880746149145,0.165,0.714,0.109,0.48,-1.68620691641162
2,50,0.4,6,2,0.048280732924911,601.326717394135,3.02549922846674,0.169,0.714,0.111,0.48,-1.69820285405206
2,50,0.45,6,2,0.0493556210936209,656.950765835171,3.06252360923163,0.172,0.714,0.111,0.48,-1.70104920153778
2,20,0.1,3,1,0.0895035032904848,810.132053182788,2.40110848268793,0.241,0.714,0.161,0.48,-1.70610074231917
2,20,0.15,3,1,0.0895877071110351,811.189233180817,2.40305472456098,0.241,0.714,0.161,0.48,-1.70615830368602
2,40,0.15,3,1,0.0842036945816631,774.384229493486,2.48087692974809,0.241,0.714,0.161,0.48,-1.72116478691847
2,40,0.1,3,1,0.0840058013673395,770.812579818339,2.47753771383198,0.241,0.714,0.161,0.48,-1.72120734102494
2,30,0.1,3,1,0.0834476318981629,736.378044292967,2.53448178315832,0.241,0.714,0.161,0.48,-1.72918164420302
2,30,0.15,3,1,0.0835617868323198,737.287442724406,2.53649372335327,0.241,0.714,0.161,0.48,-1.72922321336679
2,50,0.1,3,1,0.0761034449387108,736.560311960675,2.52520638786215,0.241,0.714,0.161,0.48,-1.73558917824947
2,50,0.15,3,1,0.0760751614914662,737.432064669099,2.52629931537108,0.241,0.714,0.161,0.48,-1.73568316681219
2,50,0.2,3,1,0.0760430848274494,738.016713023544,2.52719212733812,0.241,0.714,0.161,0.48,-1.73577529225519
